ticker,filing_type,filing_date,section_used,text_length,positive,negative,neutral,net_score,pct_positive,pct_negative,n_chunks
ABBV,10-K,2021-02-19,full_fallback,13200,0.047522,0.379895,0.572583,-0.332374,0.0,0.363636,33
ABBV,10-K,2022-02-18,full_fallback,13200,0.057881,0.353946,0.588173,-0.296065,0.0,0.333333,33
ABBV,10-K,2023-02-17,full_fallback,13200,0.06529,0.418656,0.516053,-0.353366,0.030303,0.454545,33
ABBV,10-K,2024-02-20,full_fallback,13200,0.054038,0.417866,0.528096,-0.363828,0.0,0.454545,33
ABBV,10-K,2025-02-14,full_fallback,13200,0.052599,0.453997,0.493404,-0.401398,0.0,0.484848,33
ABBV,10-K,2026-02-20,full_fallback,13200,0.051867,0.460878,0.487256,-0.409011,0.030303,0.484848,33
ABT,10-Q,2016-05-04,full_fallback,11600,0.125879,0.191381,0.68274,-0.065502,0.068966,0.172414,29
ABT,10-Q,2016-08-03,full_fallback,13600,0.102346,0.213336,0.684319,-0.11099,0.058824,0.176471,34
ABT,10-Q,2016-11-03,full_fallback,13600,0.069029,0.230097,0.700875,-0.161068,0.0,0.147059,34
ABT,10-Q,2017-05-03,full_fallback,12800,0.082543,0.224961,0.692496,-0.142419,0.0,0.21875,32
ABT,10-Q,2017-08-02,full_fallback,14400,0.086464,0.178658,0.734878,-0.092193,0.027778,0.111111,36
ABT,10-Q,2017-11-02,full_fallback,14400,0.062059,0.215504,0.722437,-0.153444,0.0,0.194444,36
ABT,10-Q,2018-05-02,full_fallback,13200,0.144171,0.115489,0.740339,0.028682,0.090909,0.060606,33
ABT,10-Q,2018-08-01,full_fallback,14800,0.13644,0.135338,0.728223,0.001102,0.081081,0.108108,37
ABT,10-Q,2018-10-31,full_fallback,14400,0.115026,0.139985,0.744989,-0.024958,0.055556,0.111111,36
ABT,10-Q,2019-05-01,full_fallback,10000,0.104982,0.183977,0.711041,-0.078994,0.08,0.16,25
ABT,10-Q,2019-07-31,full_fallback,16400,0.094447,0.141123,0.76443,-0.046676,0.073171,0.073171,41
ABT,10-Q,2019-10-31,full_fallback,16400,0.111077,0.148972,0.739951,-0.037895,0.097561,0.121951,41
ABT,10-Q,2020-04-29,full_fallback,15600,0.073452,0.181352,0.745196,-0.107899,0.076923,0.128205,39
ABT,10-Q,2020-07-29,full_fallback,16400,0.044333,0.225562,0.730104,-0.181229,0.0,0.170732,41
ABT,10-Q,2020-11-04,full_fallback,16400,0.070989,0.199859,0.729152,-0.12887,0.04878,0.146341,41
ABT,10-Q,2021-05-05,full_fallback,14400,0.13068,0.108132,0.761188,0.022547,0.111111,0.055556,36
ABT,10-Q,2021-08-04,full_fallback,16000,0.129617,0.133464,0.736919,-0.003847,0.125,0.05,40
ABT,10-Q,2021-11-03,full_fallback,16000,0.107,0.145471,0.747529,-0.03847,0.1,0.05,40
ABT,10-Q,2022-05-03,full_fallback,14800,0.101554,0.176172,0.722274,-0.074619,0.081081,0.162162,37
ABT,10-Q,2022-08-02,full_fallback,12400,0.080709,0.206054,0.713237,-0.125345,0.064516,0.16129,31
ABT,10-Q,2022-11-01,full_fallback,12400,0.093714,0.156563,0.749724,-0.062849,0.064516,0.129032,31
ABT,10-Q,2023-05-04,full_fallback,12000,0.067357,0.18055,0.752094,-0.113193,0.033333,0.133333,30
ABT,10-Q,2023-08-03,full_fallback,12800,0.120038,0.131743,0.748219,-0.011705,0.09375,0.0625,32
ABT,10-Q,2023-11-01,full_fallback,12800,0.093985,0.121948,0.784067,-0.027963,0.09375,0.0625,32
ABT,10-Q,2024-05-02,full_fallback,13600,0.114534,0.160699,0.724767,-0.046165,0.088235,0.117647,34
ABT,10-Q,2024-07-31,full_fallback,12800,0.073149,0.145794,0.781057,-0.072645,0.0625,0.09375,32
ABT,10-Q,2024-10-31,full_fallback,12800,0.047957,0.164549,0.787494,-0.116592,0.0,0.125,32
ABT,10-Q,2025-04-30,full_fallback,13600,0.088682,0.148986,0.762332,-0.060304,0.058824,0.117647,34
ABT,10-Q,2025-07-30,full_fallback,12800,0.05487,0.126883,0.818247,-0.072014,0.03125,0.0625,32
ABT,10-Q,2025-10-29,full_fallback,12800,0.062057,0.13206,0.805882,-0.070003,0.03125,0.0625,32
ABT,10-K,2016-02-19,mda,14400,0.239247,0.12944,0.631313,0.109807,0.166667,0.083333,36
ABT,10-K,2017-02-17,mda,1200,0.021485,0.439427,0.539088,-0.417942,0.0,0.333333,3
ABT,10-K,2018-02-16,mda,1200,0.020178,0.427275,0.552547,-0.407097,0.0,0.333333,3
ABT,10-K,2019-02-22,mda,1200,0.021573,0.427815,0.550612,-0.406243,0.0,0.333333,3
ABT,10-K,2020-02-21,mda,1200,0.017628,0.486751,0.495621,-0.469124,0.0,0.666667,3
ABT,10-K,2021-02-19,mda,1600,0.019459,0.623094,0.357447,-0.603635,0.0,0.75,4
ABT,10-K,2022-02-18,mda,1600,0.020516,0.629098,0.350386,-0.608582,0.0,0.75,4
ABT,10-K,2023-02-17,full_fallback,13600,0.124206,0.389294,0.4865,-0.265088,0.117647,0.411765,34
ABT,10-K,2024-02-16,full_fallback,13600,0.09552,0.444028,0.460453,-0.348508,0.088235,0.441176,34
ABT,10-K,2025-02-21,full_fallback,13600,0.07959,0.42778,0.49263,-0.34819,0.058824,0.411765,34
ABT,10-K,2026-02-20,full_fallback,13600,0.087902,0.394403,0.517695,-0.3065,0.058824,0.382353,34
ACN,10-Q,2016-03-24,full_fallback,14800,0.162086,0.247225,0.590688,-0.085139,0.189189,0.216216,37
ACN,10-Q,2016-06-23,full_fallback,14800,0.178794,0.329033,0.492173,-0.150239,0.162162,0.324324,37
ACN,10-Q,2016-12-21,full_fallback,12000,0.147112,0.206523,0.646365,-0.059412,0.133333,0.2,30
ACN,10-Q,2017-03-23,full_fallback,14000,0.152046,0.288898,0.559056,-0.136852,0.142857,0.285714,35
ACN,10-Q,2017-06-22,full_fallback,14400,0.219386,0.258673,0.521941,-0.039286,0.222222,0.222222,36
ACN,10-Q,2017-12-21,full_fallback,10800,0.194382,0.170652,0.634966,0.02373,0.222222,0.148148,27
ACN,10-Q,2018-03-22,full_fallback,14000,0.214853,0.222676,0.562471,-0.007823,0.2,0.2,35
ACN,10-Q,2018-06-28,full_fallback,14800,0.156847,0.274667,0.568486,-0.117821,0.108108,0.324324,37
ACN,10-Q,2018-12-20,full_fallback,12400,0.129367,0.163354,0.707279,-0.033988,0.096774,0.16129,31
ACN,10-Q,2019-03-28,full_fallback,14400,0.15779,0.262119,0.580091,-0.104329,0.166667,0.194444,36
ACN,10-Q,2019-06-27,full_fallback,14800,0.178098,0.200813,0.621089,-0.022715,0.162162,0.162162,37
ACN,10-Q,2019-12-19,full_fallback,12800,0.122783,0.200537,0.67668,-0.077754,0.09375,0.21875,32
ACN,10-Q,2020-03-19,full_fallback,14800,0.151136,0.192644,0.65622,-0.041508,0.135135,0.162162,37
ACN,10-Q,2020-06-25,full_fallback,14800,0.080104,0.313412,0.606485,-0.233308,0.027027,0.324324,37
ACN,10-Q,2020-12-17,full_fallback,12400,0.106917,0.281079,0.612004,-0.174162,0.096774,0.322581,31
ACN,10-Q,2021-03-18,full_fallback,14800,0.136401,0.26455,0.599049,-0.128149,0.081081,0.243243,37
ACN,10-Q,2021-06-24,full_fallback,14800,0.140426,0.251782,0.607792,-0.111356,0.108108,0.243243,37
ACN,10-Q,2021-12-16,full_fallback,12000,0.120259,0.236786,0.642955,-0.116526,0.1,0.233333,30
ACN,10-Q,2022-03-17,full_fallback,14800,0.148075,0.247449,0.604477,-0.099374,0.108108,0.27027,37
ACN,10-Q,2022-06-23,full_fallback,14800,0.127801,0.292012,0.580186,-0.164211,0.135135,0.27027,37
ACN,10-Q,2022-12-16,full_fallback,12400,0.11157,0.202187,0.686243,-0.090617,0.064516,0.193548,31
ACN,10-Q,2023-03-23,full_fallback,14400,0.130546,0.321515,0.54794,-0.190969,0.138889,0.277778,36
ACN,10-Q,2023-06-22,full_fallback,14800,0.117748,0.339841,0.542412,-0.222093,0.081081,0.324324,37
ACN,10-Q,2023-12-19,full_fallback,13600,0.069807,0.269996,0.660197,-0.200189,0.058824,0.235294,34
ACN,10-Q,2024-03-21,full_fallback,14400,0.079274,0.336673,0.584053,-0.257399,0.055556,0.333333,36
ACN,10-Q,2024-06-20,full_fallback,14800,0.070573,0.331927,0.5975,-0.261353,0.027027,0.324324,37
ACN,10-Q,2024-12-19,full_fallback,14000,0.13602,0.213569,0.650411,-0.077549,0.114286,0.228571,35
ACN,10-Q,2025-03-20,full_fallback,14400,0.111975,0.291293,0.596731,-0.179318,0.083333,0.222222,36
ACN,10-Q,2025-06-20,full_fallback,14800,0.144034,0.251431,0.604535,-0.107397,0.108108,0.27027,37
ACN,10-Q,2025-12-18,full_fallback,14400,0.089302,0.207202,0.703496,-0.117899,0.055556,0.194444,36
ACN,10-K,2016-10-28,full_fallback,14400,0.10323,0.315952,0.580817,-0.212722,0.111111,0.305556,36
ACN,10-K,2017-10-26,full_fallback,14000,0.091094,0.343065,0.565841,-0.251972,0.085714,0.371429,35
ACN,10-K,2018-10-24,full_fallback,14000,0.085545,0.305396,0.609059,-0.219851,0.057143,0.285714,35
